case,C2_over_C1,R2_over_R1,waveform,Ti_s,pause_fraction,dt_s,PI,EII,MPtotal_Jmin,flow_residual_max_Ls,paw_consistency_max_cmH2O
compliance-dominant_high-C2,4.0,1.0,square,0.6,0.0,0.0005,0.6342947705813439,0.2685895411626877,4.971104639901331,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,0.6,0.0,0.00025,0.6343309941964991,0.26866198839299815,4.973063438298465,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,0.6,0.0,0.000125,0.6343491007141664,0.26869820142833284,4.974042996338926,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,0.6,0.2,0.004,0.6361358759969952,0.27227175199399034,5.763774802179398,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,0.6,0.2,0.002,0.6363819998374746,0.27276399967494913,5.793973845231727,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,0.6,0.2,0.001,0.6365042402569968,0.27300848051399346,5.809147535237845,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,0.6,0.2,0.0005,0.6365651568623333,0.2731303137246665,5.816753015836476,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,0.6,0.2,0.00025,0.6365955644832654,0.27319112896653075,5.820560426776742,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,0.6,0.2,0.000125,0.6366107556505951,0.2732215113011904,5.822465301378481,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.0,0.004,0.6851820879083557,0.3703641758167113,3.5652685056022144,3.885780586188048e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.0,0.002,0.6853040734836503,0.3706081469673006,3.572915172829193,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.0,0.001,0.6853649975696421,0.37072999513928423,3.5767420854939846,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.0,0.0005,0.6853954424410792,0.3707908848821583,3.5786564366732785,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.0,0.0,0.00025,0.6854106605843974,0.3708213211687948,3.5796138359851093,4.440892098500626e-16,1.7763568394002505e-15
